Name,Salary,Designation,Age,Gender,Owns Car
Brosina,149957,Senior Manager,44,Female,Yes
Ross,141401,Senior Manager,47,Male,No
Lena,130556,Senior Manager,52,Female,
Sean,117501,Manager,36,Male,Yes
Sandra,115116,Manager,41,Female,
Tracy,109132,Manager,34,Female,Yes
Claire,88962,Manager,35,Female,Yes
Matt,83327,Manager,43,Male,Yes
Irene,63391,Team Lead,33,Female,Yes
Patrick,57093,Team Lead,26,Male,Yes
Eric,55891,Team Lead,31,Male,No
Linda,54003,Team Lead,35,Female,
Paul,34248,Team Lead,27,Male,Yes
Steve,29324,Team Lead,29,Male,Yes
Brendan,27416,Team Lead,30,Male,Yes
Ted,26180,Team Lead,27,Male,Yes
